timestamp,value,metric,instance
2025-11-03 22:27:14,2.166666666356221,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:27:29,2.049999999192849,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:27:44,2.2916666666666714,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:27:59,53.49166666778425,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:28:14,80.36666666778426,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:28:29,76.31666666517654,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:28:44,86.76666666598369,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:28:59,98.89999999975164,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:29:14,99.33333333426465,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:29:29,99.77500000037253,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:29:44,99.9750000005588,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:29:59,99.96666666741173,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:30:14,99.96666666585952,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:30:29,100.0,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:30:44,99.91666666697711,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:30:59,99.96666666741173,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:31:14,99.95833333271246,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:31:29,99.93333333482344,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:31:44,99.94999999956538,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:31:59,99.98333333215366,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:32:14,99.9166666654249,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:32:29,100.0,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:32:44,99.99166666530073,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:32:59,99.96666666741173,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:33:14,99.96666666741173,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:33:29,99.99166666685294,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:33:44,21.366666665611163,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:33:59,3.75,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:34:14,3.225000000869244,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:34:29,3.3749999990686774,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:34:44,5.000000001552209,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:34:59,4.133333334078387,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:35:14,3.466666663686439,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:35:29,3.533333336624011,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:35:44,3.4833333315327764,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:35:59,3.983333334326744,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:36:14,3.6083333318432125,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:36:29,3.2166666692743746,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:36:44,4.199999999254942,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:36:59,4.199999999254942,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:37:14,3.466666663686439,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:37:29,3.5500000029181393,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:37:44,3.125000001552209,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:37:59,3.8166666636243463,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:38:14,3.458333335195988,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:38:29,3.366666665921599,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:38:44,3.733333330601454,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:38:59,3.5000000024835316,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:39:14,3.8750000003104503,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:39:29,3.291666669150189,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:39:44,3.5583333314086047,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:39:59,3.8999999981994478,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:40:14,3.4416666704540404,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:40:29,3.62499999658516,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:40:44,3.6750000016763806,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:40:59,3.908333332898721,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:41:14,3.6666666654248985,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:41:29,2.9666666655490843,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:41:44,4.250000001241759,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:41:59,4.616666669026017,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:42:14,4.183333329856396,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:42:29,3.6583333353822525,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:42:44,3.3249999986340555,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:42:59,4.491666667163372,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:43:14,3.758333333147064,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:43:29,3.6083333333954215,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:43:44,3.875000001862645,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:43:59,3.5999999986961484,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:44:14,4.091666665238634,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:44:29,3.4833333361893892,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:44:44,3.8416666661699566,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:44:59,3.908333331346512,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:45:14,3.3833333368723686,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:45:29,3.5583333298563957,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:45:44,3.4916666677842585,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:45:59,4.724999999937921,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:46:14,3.5499999998137355,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:46:29,3.341666666480407,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:46:44,3.9333333338921364,"instance=""node-exporter:9100""",node-exporter:9100
2025-11-03 22:46:59,19.85833333339542,"instance=""node-exporter:9100""",node-exporter:9100
