timestamp,value,metric,instance,job
2025-11-03 22:27:00,7.920202444483039,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:27:15,7.923082742053239,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:27:30,7.925720422765465,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:27:45,7.930392352517572,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:28:00,8.219809380289362,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:28:15,8.370007878204845,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:28:30,8.485064257385872,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:28:45,8.421324454136965,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:29:00,8.430170638035065,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:29:15,8.450705977731005,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:29:30,8.493817127107832,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:29:45,8.491726889562301,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:30:00,8.525071155169783,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:30:15,8.541463345445095,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:30:30,8.535565889513038,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:30:45,8.547236382475646,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:31:00,8.51294653321662,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:31:15,8.511783216487402,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:31:30,8.515204736279202,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:31:45,8.543093233055018,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:32:00,8.488510660958,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:32:15,8.497437717142091,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:32:30,8.492927531961968,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:32:45,8.46985404667501,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-03 22:33:00,8.504330524286317,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
