timestamp,value,metric,instance,job
2025-11-04 02:56:40,7.996645417577213,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 02:56:55,7.985248646197931,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 02:57:10,7.965671332043684,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 02:57:25,8.063545460924743,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 02:57:40,8.305577550052476,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 02:57:55,8.43994996369456,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 02:58:10,8.465331419604738,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 02:58:25,8.456684305949068,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 02:58:40,8.498134462990606,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 02:58:55,8.511316645606698,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 02:59:10,8.51618142465614,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 02:59:25,8.539796132164724,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 02:59:40,8.512747462974176,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 02:59:55,8.526775694120616,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 03:00:10,8.532281230512893,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 03:00:25,8.509108210104714,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 03:00:40,8.487845019834865,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 03:00:55,8.515210957224284,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 03:01:10,8.522918708173478,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 03:01:25,8.545139923985019,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 03:01:40,8.519099047896788,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
2025-11-04 03:01:55,8.534166176870926,"instance=""node-exporter:9100"",job=""node""",node-exporter:9100,node
