timestamp,value,metric,result
2025-11-04 02:56:53,0.0,"result=""dropped""",dropped
2025-11-04 02:57:08,0.0,"result=""dropped""",dropped
2025-11-04 02:57:23,0.0,"result=""dropped""",dropped
2025-11-04 02:57:38,0.0,"result=""dropped""",dropped
2025-11-04 02:57:53,0.0,"result=""dropped""",dropped
2025-11-04 02:58:08,0.0,"result=""dropped""",dropped
2025-11-04 02:58:23,0.0,"result=""dropped""",dropped
2025-11-04 02:58:38,0.0,"result=""dropped""",dropped
2025-11-04 02:58:53,0.0,"result=""dropped""",dropped
2025-11-04 02:59:08,0.0,"result=""dropped""",dropped
2025-11-04 02:59:23,0.0,"result=""dropped""",dropped
2025-11-04 02:59:38,0.0,"result=""dropped""",dropped
2025-11-04 02:59:53,0.0,"result=""dropped""",dropped
2025-11-04 03:00:08,0.0,"result=""dropped""",dropped
2025-11-04 03:00:23,0.0,"result=""dropped""",dropped
2025-11-04 03:00:38,0.0,"result=""dropped""",dropped
2025-11-04 03:00:53,0.0,"result=""dropped""",dropped
2025-11-04 03:01:08,0.0,"result=""dropped""",dropped
2025-11-04 03:01:23,0.0,"result=""dropped""",dropped
2025-11-04 03:01:38,0.0,"result=""dropped""",dropped
2025-11-04 03:01:53,0.0,"result=""dropped""",dropped
2025-11-04 03:02:08,0.0,"result=""dropped""",dropped
2025-11-04 03:02:23,0.0,"result=""dropped""",dropped
2025-11-04 03:02:38,0.0,"result=""dropped""",dropped
2025-11-04 03:02:53,0.0,"result=""dropped""",dropped
2025-11-04 03:03:08,0.0,"result=""dropped""",dropped
2025-11-04 03:03:23,0.0,"result=""dropped""",dropped
2025-11-04 03:03:38,0.0,"result=""dropped""",dropped
2025-11-04 03:03:53,0.0,"result=""dropped""",dropped
2025-11-04 03:04:08,0.0,"result=""dropped""",dropped
2025-11-04 03:04:23,0.0,"result=""dropped""",dropped
2025-11-04 03:04:38,0.0,"result=""dropped""",dropped
2025-11-04 03:04:53,0.0,"result=""dropped""",dropped
2025-11-04 03:05:08,0.0,"result=""dropped""",dropped
2025-11-04 03:05:23,0.0,"result=""dropped""",dropped
2025-11-04 03:05:38,0.0,"result=""dropped""",dropped
2025-11-04 03:05:53,0.0,"result=""dropped""",dropped
2025-11-04 03:06:08,0.0,"result=""dropped""",dropped
2025-11-04 03:06:23,0.0,"result=""dropped""",dropped
2025-11-04 03:06:38,0.0,"result=""dropped""",dropped
2025-11-04 03:06:53,0.0,"result=""dropped""",dropped
2025-11-04 03:07:08,0.0,"result=""dropped""",dropped
2025-11-04 03:07:23,0.0,"result=""dropped""",dropped
2025-11-04 03:07:38,0.0,"result=""dropped""",dropped
2025-11-04 03:07:53,0.0,"result=""dropped""",dropped
2025-11-04 03:08:08,0.0,"result=""dropped""",dropped
2025-11-04 03:08:23,0.0,"result=""dropped""",dropped
2025-11-04 03:08:38,0.0,"result=""dropped""",dropped
2025-11-04 03:08:53,0.0,"result=""dropped""",dropped
2025-11-04 03:09:08,0.0,"result=""dropped""",dropped
2025-11-04 03:09:23,0.0,"result=""dropped""",dropped
2025-11-04 03:09:38,0.0,"result=""dropped""",dropped
2025-11-04 03:09:53,0.0,"result=""dropped""",dropped
2025-11-04 03:10:08,0.0,"result=""dropped""",dropped
2025-11-04 03:10:23,0.0,"result=""dropped""",dropped
2025-11-04 03:10:38,0.0,"result=""dropped""",dropped
2025-11-04 03:10:53,0.0,"result=""dropped""",dropped
2025-11-04 03:11:08,0.0,"result=""dropped""",dropped
2025-11-04 03:11:23,0.0,"result=""dropped""",dropped
2025-11-04 03:11:38,0.0,"result=""dropped""",dropped
2025-11-04 03:11:53,0.0,"result=""dropped""",dropped
2025-11-04 03:12:08,0.0,"result=""dropped""",dropped
2025-11-04 03:12:23,0.0,"result=""dropped""",dropped
2025-11-04 03:12:38,0.0,"result=""dropped""",dropped
2025-11-04 03:12:53,0.0,"result=""dropped""",dropped
2025-11-04 03:13:08,0.0,"result=""dropped""",dropped
2025-11-04 03:13:23,0.0,"result=""dropped""",dropped
2025-11-04 03:13:38,0.0,"result=""dropped""",dropped
2025-11-04 03:13:53,0.0,"result=""dropped""",dropped
2025-11-04 03:14:08,0.0,"result=""dropped""",dropped
2025-11-04 03:14:23,0.0,"result=""dropped""",dropped
2025-11-04 03:14:38,0.0,"result=""dropped""",dropped
2025-11-04 03:14:53,0.0,"result=""dropped""",dropped
2025-11-04 03:15:08,0.0,"result=""dropped""",dropped
2025-11-04 03:15:23,0.0,"result=""dropped""",dropped
2025-11-04 03:15:38,0.0,"result=""dropped""",dropped
2025-11-04 03:15:53,0.0,"result=""dropped""",dropped
2025-11-04 03:16:08,0.0,"result=""dropped""",dropped
2025-11-04 03:16:23,0.0,"result=""dropped""",dropped
2025-11-04 03:16:38,0.0,"result=""dropped""",dropped
2025-11-04 03:16:53,0.0,"result=""dropped""",dropped
2025-11-04 03:17:08,0.0,"result=""dropped""",dropped
2025-11-04 03:17:23,0.0,"result=""dropped""",dropped
2025-11-04 03:17:38,0.0,"result=""dropped""",dropped
