timestamp,value,metric,device,instance,job
2025-11-03 22:03:43,6.820977776911524e-05,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:03:58,0.00011441066662060458,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:04:13,0.002178906074018649,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:04:28,0.007071687999996698,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:04:43,0.0211516558221822,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:04:58,0.035631462814766895,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:05:13,0.037568331682527045,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:05:28,0.03829481088886052,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:05:43,0.038126364444399805,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:05:58,0.03831502079995659,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:06:13,0.040263808323210984,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:06:28,0.04084920814813983,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:06:43,0.04128227117946773,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:06:58,0.04138938082535934,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:07:13,0.0428685385480985,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:07:28,0.04312364455551099,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:07:43,0.0433619258562014,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:07:58,0.04345545145677426,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:08:13,0.044571929824540564,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:08:28,0.04626666666662091,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:08:43,0.04644912280700896,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:08:58,0.044968421052653224,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:09:13,0.041708771929782076,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:09:28,0.029740350877226884,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:09:43,0.01628070175438392,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:09:58,0.013936842105243142,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:10:13,0.01415087719296775,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:10:28,0.015621052631595694,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:10:43,0.01564912280704001,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:10:58,0.01356842105262586,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:11:13,0.014315789473690336,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
2025-11-03 22:11:28,0.015024561403480586,"device=""vda"",instance=""node-exporter:9100"",job=""node""",vda,node-exporter:9100,node
