timestamp,value,metric,device,fstype,instance,job,mountpoint
2025-11-03 22:03:31,37.75818520519816,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-03 22:03:46,37.758260052879386,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-03 22:04:01,37.75830995133354,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-03 22:04:16,37.75865425066718,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-03 22:04:31,37.779741337391336,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-03 22:04:46,37.814829930350236,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-03 22:05:01,37.848052321123895,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-03 22:05:16,37.85009316789867,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-03 22:05:31,37.8516899184315,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-03 22:05:46,37.85179969503063,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
