timestamp,value,metric,device
2025-11-03 22:03:44,14127.966890666667,"device=""vda""",vda
2025-11-03 22:03:59,19122.006698666664,"device=""vda""",vda
2025-11-03 22:04:14,24341.54131911111,"device=""vda""",vda
2025-11-03 22:04:29,80386.53041777777,"device=""vda""",vda
2025-11-03 22:04:44,199813.5813006222,"device=""vda""",vda
2025-11-03 22:04:59,573696.376832,"device=""vda""",vda
2025-11-03 22:05:14,578546.1875078095,"device=""vda""",vda
2025-11-03 22:05:29,627298.2239004445,"device=""vda""",vda
2025-11-03 22:05:44,621506.6186587653,"device=""vda""",vda
2025-11-03 22:05:59,619045.0984732443,"device=""vda""",vda
2025-11-03 22:06:14,620192.6687857778,"device=""vda""",vda
2025-11-03 22:06:29,623427.0415075555,"device=""vda""",vda
2025-11-03 22:06:44,622986.8381560342,"device=""vda""",vda
2025-11-03 22:06:59,623737.2343182222,"device=""vda""",vda
2025-11-03 22:07:14,627490.2538467556,"device=""vda""",vda
2025-11-03 22:07:29,630349.9696355555,"device=""vda""",vda
2025-11-03 22:07:44,630954.2646696992,"device=""vda""",vda
2025-11-03 22:07:59,632960.6172318025,"device=""vda""",vda
2025-11-03 22:08:14,642267.1719298245,"device=""vda""",vda
2025-11-03 22:08:29,641649.1789473684,"device=""vda""",vda
2025-11-03 22:08:44,638286.147368421,"device=""vda""",vda
2025-11-03 22:08:59,634721.9087719298,"device=""vda""",vda
2025-11-03 22:09:14,592798.9894736841,"device=""vda""",vda
2025-11-03 22:09:29,491893.6701754386,"device=""vda""",vda
2025-11-03 22:09:44,148993.79649122804,"device=""vda""",vda
2025-11-03 22:09:59,137927.41052631577,"device=""vda""",vda
2025-11-03 22:10:14,92009.09473684209,"device=""vda""",vda
2025-11-03 22:10:29,97082.38596491228,"device=""vda""",vda
2025-11-03 22:10:44,97412.94035087718,"device=""vda""",vda
2025-11-03 22:10:59,94164.8842105263,"device=""vda""",vda
2025-11-03 22:11:14,93403.17192982454,"device=""vda""",vda
2025-11-03 22:11:29,94797.24912280701,"device=""vda""",vda
2025-11-03 22:11:44,95515.84561403508,"device=""vda""",vda
2025-11-03 22:11:59,92354.02105263156,"device=""vda""",vda
2025-11-03 22:12:14,92828.2947368421,"device=""vda""",vda
2025-11-03 22:12:29,96061.9789473684,"device=""vda""",vda
2025-11-03 22:12:44,96306.30175438596,"device=""vda""",vda
2025-11-03 22:12:59,91951.60701754385,"device=""vda""",vda
2025-11-03 22:13:14,93417.54385964911,"device=""vda""",vda
2025-11-03 22:13:29,96564.99649122806,"device=""vda""",vda
2025-11-03 22:13:44,98878.87719298244,"device=""vda""",vda
2025-11-03 22:13:59,94883.48070175438,"device=""vda""",vda
2025-11-03 22:14:14,94452.32280701754,"device=""vda""",vda
2025-11-03 22:14:29,97757.86666666665,"device=""vda""",vda
2025-11-03 22:14:44,98763.90175438595,"device=""vda""",vda
2025-11-03 22:14:59,93518.14736842104,"device=""vda""",vda
2025-11-03 22:15:14,93216.33684210526,"device=""vda""",vda
2025-11-03 22:15:29,96651.22807017544,"device=""vda""",vda
2025-11-03 22:15:44,95875.1438596491,"device=""vda""",vda
2025-11-03 22:15:59,91031.80350877192,"device=""vda""",vda
2025-11-03 22:16:14,93647.4947368421,"device=""vda""",vda
2025-11-03 22:16:29,95285.89473684209,"device=""vda""",vda
2025-11-03 22:16:44,96220.07017543858,"device=""vda""",vda
2025-11-03 22:16:59,95214.03508771928,"device=""vda""",vda
2025-11-03 22:17:14,95199.66315789473,"device=""vda""",vda
2025-11-03 22:17:29,99223.80350877192,"device=""vda""",vda
2025-11-03 22:17:44,99583.10175438595,"device=""vda""",vda
2025-11-03 22:17:59,95314.63859649122,"device=""vda""",vda
2025-11-03 22:18:14,97283.59298245613,"device=""vda""",vda
2025-11-03 22:18:29,98289.62807017543,"device=""vda""",vda
2025-11-03 22:18:44,100560.39298245613,"device=""vda""",vda
2025-11-03 22:18:59,99726.82105263157,"device=""vda""",vda
2025-11-03 22:19:14,99137.57192982455,"device=""vda""",vda
2025-11-03 22:19:29,98965.10877192981,"device=""vda""",vda
2025-11-03 22:19:44,99827.4245614035,"device=""vda""",vda
2025-11-03 22:19:59,95429.61403508771,"device=""vda""",vda
2025-11-03 22:20:14,94322.97543859648,"device=""vda""",vda
2025-11-03 22:20:29,99295.66315789473,"device=""vda""",vda
2025-11-03 22:20:44,102514.97543859648,"device=""vda""",vda
2025-11-03 22:20:59,98936.3649122807,"device=""vda""",vda
2025-11-03 22:21:14,99410.63859649122,"device=""vda""",vda
2025-11-03 22:21:29,99971.1438596491,"device=""vda""",vda
2025-11-03 22:21:44,100689.74035087718,"device=""vda""",vda
2025-11-03 22:21:59,99137.57192982455,"device=""vda""",vda
2025-11-03 22:22:14,96694.34385964912,"device=""vda""",vda
2025-11-03 22:22:29,98749.5298245614,"device=""vda""",vda
2025-11-03 22:22:44,99568.7298245614,"device=""vda""",vda
2025-11-03 22:22:59,95616.44912280701,"device=""vda""",vda
2025-11-03 22:23:14,285857.6842105263,"device=""vda""",vda
