timestamp,value,metric,__name__,instance,job
2025-11-04 00:02:15,3.58,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:02:30,2.79,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:02:45,2.17,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:03:00,2.09,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:03:15,5.32,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:03:30,6.52,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:03:45,11.48,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:04:00,10.59,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:04:15,8.24,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:04:30,6.41,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:04:45,5.07,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:05:00,4.1,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:05:15,3.19,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:05:30,2.56,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:05:45,1.99,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:06:00,1.55,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:06:15,1.28,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:06:30,1.13,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:06:45,0.88,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:07:00,0.93,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:07:15,0.72,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:07:30,0.63,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
2025-11-04 00:07:45,0.49,"__name__=""node_load1"",instance=""node-exporter:9100"",job=""node""",node_load1,node-exporter:9100,node
