timestamp,value,metric,device,fstype,instance,job,mountpoint
2025-11-04 00:02:20,38.180999756445644,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-04 00:02:35,38.18106961428146,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-04 00:02:50,38.18112450258102,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-04 00:03:05,38.18203764429199,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-04 00:03:20,38.204007933654616,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-04 00:03:35,38.23786403479599,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-04 00:03:50,38.26953458364555,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-04 00:04:05,38.2736162771951,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-04 00:04:20,38.27440467277068,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-04 00:04:35,38.27452442906064,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-04 00:04:50,38.27462921581436,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-04 00:05:05,38.27526791602749,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-04 00:05:20,38.27536771293579,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
2025-11-04 00:05:35,38.27550742860741,"device=""/dev/vda1"",fstype=""ext4"",instance=""node-exporter:9100"",job=""node"",mountpoint=""/""",/dev/vda1,ext4,node-exporter:9100,node,/
